Larval_ID,Vessel_ID,Treatment,Size
1,V15,8_0_S,257.035
2,V15,8_0_S,298.416
3,V15,8_0_S,256.064
4,V15,8_0_S,314.013
5,V15,8_0_S,322.715
6,V15,8_0_S,296.175
7,V15,8_0_S,342.825
8,V15,8_0_S,307.53
9,V15,8_0_S,278.099
10,V15,8_0_S,235.139
11,V15,8_0_S,341.037
12,V15,8_0_S,324.328
13,V15,8_0_S,317.779
14,V15,8_0_S,318.919
15,V15,8_0_S,250.125
16,V15,8_0_S,323.023
17,V15,8_0_S,290.918
18,V15,8_0_S,287.71
19,V15,8_0_S,333.9
20,V15,8_0_S,235.94
21,V15,8_0_S,254.61
22,V16,8_0_S,309.581
23,V16,8_0_S,335.052
24,V16,8_0_S,313.568
25,V16,8_0_S,346.353
26,V16,8_0_S,359.522
27,V16,8_0_S,291.248
28,V16,8_0_S,310.667
29,V16,8_0_S,338.474
30,V16,8_0_S,350.375
31,V16,8_0_S,338.378
32,V16,8_0_S,301.582
33,V16,8_0_S,395.448
34,V16,8_0_S,334.563
35,V16,8_0_S,337.489
36,V16,8_0_S,309.765
37,V16,8_0_S,339.543
38,V16,8_0_S,348.299
39,V16,8_0_S,329.662
40,V16,8_0_S,318.536
41,V16,8_0_S,311.672
42,V16,8_0_S,347.026
43,V17,8_0_S,317.788
44,V17,8_0_S,343.363
45,V17,8_0_S,316.15
46,V17,8_0_S,334.053
47,V17,8_0_S,302.244
48,V17,8_0_S,331.805
49,V17,8_0_S,340.55
50,V17,8_0_S,317.448
51,V17,8_0_S,342.351
52,V17,8_0_S,303.258
53,V17,8_0_S,328.339
54,V17,8_0_S,338.108
55,V17,8_0_S,325.008
56,V17,8_0_S,288.645
57,V17,8_0_S,301.879
58,V17,8_0_S,292.252
59,V17,8_0_S,358.986
60,V17,8_0_S,322.654
61,V17,8_0_S,303.722
62,V17,8_0_S,322.278
63,V17,8_0_S,355.92
64,V17,8_0_S,365.34
65,V17,8_0_S,341.335
66,V17,8_0_S,348.162
67,V17,8_0_S,334.572
68,V17,8_0_S,355.758
69,V17,8_0_S,354.898
70,V17,8_0_S,340.753
71,V18,8_0_S,357.456
72,V18,8_0_S,318.029
73,V18,8_0_S,290.028
74,V18,8_0_S,329.661
75,V18,8_0_S,343.525
76,V18,8_0_S,289.446
77,V18,8_0_S,325.383
78,V18,8_0_S,351.007
79,V18,8_0_S,306.017
80,V18,8_0_S,309.374
